=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.09.18 11:08:54 =~=~=~=~=~=~=~=~=~=~=~=
time,session_info.load_cell_force,toe_triggered,mid_triggered,heel_triggered
3.950,-22.430,0,0,1
3.955,-27.101,0,0,1
3.960,-31.555,0,0,1
3.965,-35.465,0,0,1
3.970,-41.114,0,0,1
3.975,-47.305,0,0,1
3.980,-52.194,0,0,1
3.985,-56.104,0,0,1
3.990,-58.059,0,0,1
3.995,-57.625,0,0,1
4.000,-56.321,0,0,1
4.005,-52.302,0,0,1
4.010,-49.478,0,0,1
4.015,-46.219,0,0,1
4.020,-44.807,0,0,1
4.025,-43.504,0,0,1
4.030,-43.286,0,0,1
4.035,-44.373,0,0,1
4.040,-43.069,0,0,1
4.045,-42.417,0,0,1
4.050,-42.526,0,0,1
4.055,-43.395,0,0,1
4.060,-44.264,0,0,1
4.065,-44.481,0,0,1
4.070,-45.567,0,0,1
4.075,-47.197,0,0,1
4.080,-47.197,0,0,1
4.085,-47.523,0,0,1
4.090,-50.021,0,0,1
4.095,-49.152,0,0,1
4.100,-47.088,0,0,1
4.105,-46.436,0,0,1
4.110,-45.676,0,0,1
4.115,-46.545,0,0,1
4.120,-44.264,0,0,1
4.125,-44.155,0,0,1
4.130,-44.916,0,0,1
4.135,-44.698,0,0,1
4.140,-43.395,0,0,1
4.145,-43.612,0,0,1
4.150,-45.459,1,0,1
4.155,-46.328,1,0,1
4.160,-45.242,1,0,1
4.165,-45.893,1,0,1
4.170,-47.631,1,0,1
4.175,-48.066,1,0,1
4.180,-48.609,1,0,1
4.185,-48.066,1,0,1
4.190,-48.283,1,0,1
4.195,-48.174,1,0,1
4.200,-48.283,1,0,1
4.205,-49.043,1,0,1
4.210,-50.130,1,0,1
4.215,-49.695,1,0,1
4.220,-49.804,1,0,1
4.225,-49.478,1,0,1
4.230,-50.564,1,0,1
4.235,-49.804,1,0,1
4.240,-49.369,1,0,1
4.245,-49.478,1,0,1
4.250,-49.913,1,0,1
4.255,-48.174,1,0,0
4.260,-48.283,1,0,0
4.265,-52.411,1,0,0
4.270,-62.079,1,0,0
4.275,-67.075,1,0,0
4.280,-68.596,1,0,0
4.285,-67.618,1,0,0
4.290,-67.836,1,0,0
4.295,-66.315,1,0,0
4.300,-65.120,1,0,0
4.305,-64.577,1,0,0
4.310,-64.577,1,0,0
4.315,-62.296,1,0,0
4.320,-60.775,1,0,0
4.325,-61.318,1,0,0
4.330,-61.644,1,0,0
4.335,-61.970,1,1,0
4.340,-59.580,1,1,0
4.345,-59.906,1,1,0
4.350,-59.363,1,1,0
4.355,-58.603,1,1,0
4.360,-58.385,1,1,0
4.365,-59.797,1,1,0
4.370,-60.775,1,1,0
4.375,-58.385,1,1,0
4.380,-58.928,1,1,0
4.385,-59.146,1,1,0
4.390,-58.059,1,1,0
4.395,-56.104,1,1,0
4.400,-55.452,1,1,0
4.405,-53.823,1,1,0
4.410,-53.280,1,1,0
4.415,-51.976,1,1,0
4.420,-50.021,1,1,0
4.425,-48.935,1,1,0
4.430,-46.762,1,1,0
4.435,-44.264,1,1,0
4.440,-42.309,1,1,0
4.445,-40.462,1,1,0
4.450,-37.746,1,1,0
4.455,-35.357,1,1,0
4.460,-32.641,1,1,0
4.465,-31.772,1,1,0
4.470,-30.577,1,1,0
4.475,-26.992,1,1,0
4.480,-25.146,1,1,0
4.485,-24.277,1,1,0
4.490,-21.887,1,1,0
4.495,-19.606,1,1,0
4.500,-17.868,1,1,0
4.505,-17.325,1,1,0
4.510,-15.695,1,1,0
4.515,-14.826,1,1,0
4.520,-14.609,1,1,0
4.525,-16.130,1,1,0
